,channel,unionname,org,name of the channel if differs from unionname,country,channel_videos_url
0,UPA_Federal,UPA - Unión de Pequeños Agricultores y Ganaderos,UGT,,spain,https://www.youtube.com/@UPA_Federal/videos
1,CSIFNacional,Central Sindical Independiente y de Funcionarios,,CSIF Nacional,spain,https://www.youtube.com/@CSIFNacional/videos
2,confederaciongeneraldeltra5752,Confederación General del Trabajo (CGT),CGT,,spain,https://www.youtube.com/@confederaciongeneraldeltra5752/videos
3,cgtoficial4015,Confederación General del Trabajo (CGT),CGT,CGT Oficial,spain,https://www.youtube.com/@cgtoficial4015/videos
4,CNTsindicato,Confederación Nacional del Trabajo (CNT),CNT,,spain,https://www.youtube.com/@CNTsindicato/videos
5,avantarvideos,Confederación Intersindical Galega ,CIG,avantarvideos,spain,https://www.youtube.com/@avantarvideos/videos
6,1UGT,Unión General de Trabajadores (UGT),UGT,UGT - Unión General de Trabajadoras y Trabajadores,spain,https://www.youtube.com/@1UGT/videos
7,UGTPV,Unión General de Trabajadores (UGT),UGT,UGTPV,spain,https://www.youtube.com/@UGTPV/videos
8,fspugt,UGT Servicios Públicos,UGT,Servicios Públicos UGT,spain,https://www.youtube.com/@fspugt/videos
9,FeSMCUGT,FeSMC UGT,UGT,,spain,https://www.youtube.com/@FeSMCUGT/videos
10,FITAGVIDEOS,UGT FICA,UGT,,spain,https://www.youtube.com/@FITAGVIDEOS/videos
11,UPTAes,UPTA España,UGT,,spain,https://www.youtube.com/@UPTAes/videos
12,solidaridadobrera7611,Confederación Sindical Solidaridad Obrera,,Solidaridad Obrera,spain,https://www.youtube.com/@solidaridadobrera7611/videos
13,sovfrontera_del_biobio,Solidaridad Obrera SOV Frontera del Bio bio,,,spain,https://www.youtube.com/@sovfrontera_del_biobio/videos
14,solidaridadobrera8532,Solidaridad Obrera,,,spain,https://www.youtube.com/@solidaridadobrera8532/videos
15,elasindikatua1720,Euskal Langileen Alkartasuna (ELA),,ELA sindikatua,spain,https://www.youtube.com/@elasindikatua1720/videos
16,intersindicalrm,La Intersindical Región Murciana - Sindicato Asambleario,,,spain,https://www.youtube.com/@intersindicalrm/videos
17,IntersindicalCsc,La Intersindical CSC,,,spain,https://www.youtube.com/@IntersindicalCsc/videos
18,ccoo,Comisiones Obreras,CCOO,Canal confederal de CCOO,spain,https://www.youtube.com/@ccoo/videos
19,ccooandalucia,CCOO Andalucía,CCOO,,spain,https://www.youtube.com/@ccooandalucia/videos
20,ccootvbalears1757,CCOO TV BALEARS,CCOO,,spain,https://www.youtube.com/@ccootvbalears1757/videos
21,ccoocyl,ccoocyl,CCOO,,spain,https://www.youtube.com/@ccoocyl/videos
22,CCOOCeuta,CCOOCeuta,CCOO,,spain,https://www.youtube.com/@CCOOCeuta/videos
23,snccoo,snccoo,CCOO,,spain,https://www.youtube.com/@snccoo/videos
24,comisionesobrerasmelilla8862,Comisiones Obreras Melilla,CCOO,,spain,https://www.youtube.com/@comisionesobrerasmelilla8862/videos
25,CCOOPValencia,CCOOPV,CCOO,,spain,https://www.youtube.com/@CCOOPValencia/videos
26,comisionesobrerasar,CCOO Aragón,CCOO,,spain,https://www.youtube.com/@comisionesobrerasar/videos
27,CCOO_Canarias,CCOO CANARIAS,CCOO,,spain,https://www.youtube.com/@CCOO_Canarias/videos
28,ccoocastillalamancha,CCOO Castilla-La Mancha,CCOO,,spain,https://www.youtube.com/@ccoocastillalamancha/videos
29,CCOODELHABITAT,CCOO DEL HÁBITAT,CCOO,,spain,https://www.youtube.com/@CCOODELHABITAT/videos
30,CCOODELARIOJA,CCOO de La Rioja,CCOO,,spain,https://www.youtube.com/@CCOODELARIOJA/videos
