channel,unionname,org,name of the channel if differs from unionname,country,channel_id,channel_url,created_at,description,videos_count,subs_count,views_count
UPA_Federal,UPA - Unión de Pequeños Agricultores y Ganaderos,UGT,,spain,UCq7J0T3lTjZ41apVOiduJvQ,https://www.youtube.com/channel/UCq7J0T3lTjZ41apVOiduJvQ,2010-08-02 14:34:57+00:00,"La Unión de Pequeños Agricultores y Ganaderos (UPA) es la organización que agrupa, representa y defiende los intereses de los profesionales de la agricultura y la ganadería en España. UPA lucha por el medio rural desde hace más de 35 años con una apuesta clara por la agricultura y la ganadería familiar.",276,3440,877515
CSIFNacional,Central Sindical Independiente y de Funcionarios,,CSIF Nacional,spain,UCp-W5wZk3dOWOPCoLdP4gTg,https://www.youtube.com/channel/UCp-W5wZk3dOWOPCoLdP4gTg,2014-10-08 15:11:37+00:00,"Vídeos con entrevistas e información del CSIF, sindicato profesional e independiente. Creciendo en la empresa privada y mayoritario en las administraciones. Somos tu alternativa, otra manera de hacer sindicalismo.",2983,3230,658321
confederaciongeneraldeltra5752,Confederación General del Trabajo (CGT),CGT,,spain,UCPlPl6iGwO0y5_HBwwPOUQQ,https://www.youtube.com/channel/UCPlPl6iGwO0y5_HBwwPOUQQ,2016-09-09 02:37:52+00:00,,1,1,7
cgtoficial4015,Confederación General del Trabajo (CGT),CGT,CGT Oficial,spain,UCEW7G3pAdp5sjad70-QOPJQ,https://www.youtube.com/channel/UCEW7G3pAdp5sjad70-QOPJQ,2021-06-29 16:36:28.389169+00:00,,27,73,2708
CNTsindicato,Confederación Nacional del Trabajo (CNT),CNT,,spain,UCw7dlmrAjM7C0ttHPlEE7Fw,https://www.youtube.com/channel/UCw7dlmrAjM7C0ttHPlEE7Fw,2009-12-23 11:50:31+00:00,"Cuenta conmigo. Cuenta con CNT

La Confederación Nacional del Trabajo (CNT), es una confederación de sindicatos de clase, que agrupan a trabajadores/as de todos los oficios. La CNT es una herramienta de lucha para toda la clase trabajadora. Nuestros principios son Autogestion, Solidaridad y Apoyo Mutuo.

Cualquier trabajador o trabajadora puede estar afiliado/a al sindicato, sin importar sus ideas políticas o creencias religiosas. Basta con que se comprometa a aceptar nuestro pacto asociativo, y a respetar las decisiones que se tomen en asamblea. La táctica de la CNT es la Acción Directa, que significa que la solución de los conflictos que surjan, ha de ser lograda por los individuos afectados sin intermediarios.

Puedes encontrar más información sobre qué es la CNTpinchando en este enlace: https://www.cnt.es/que-es-cnt/#quees",116,7140,321354
avantarvideos,Confederación Intersindical Galega ,CIG,avantarvideos,spain,UCzOnMWJ9s6r3YZhdb11vkOQ,https://www.youtube.com/channel/UCzOnMWJ9s6r3YZhdb11vkOQ,2010-09-10 10:39:01+00:00,"A CIG é un sindicato de clase que defende a identidade nacional de Galiza e a autoorganización dos traballadores e traballadoras, que practica a solidariedade e o internacionalismo, que considera un principio fundamental a democracia e a participación, que respecta o pluralismo, que mantén a independencia respecto de calquera outra organización ou institución, que se expresa en galego e impulsa a nosa cultura e idioma.",1081,905,453908
1UGT,Unión General de Trabajadores (UGT),UGT,UGT - Unión General de Trabajadoras y Trabajadores,spain,UC4LB4Qfv4xOVFfufuuiLUsQ,https://www.youtube.com/channel/UC4LB4Qfv4xOVFfufuuiLUsQ,2010-07-21 08:01:31+00:00,"UGT - Unión General de Trabajadores de España
Avda. de América, 25 - 28002 Madrid.
Telf: 915. 897. 100

Metro:
Avda. de América, líneas 4, 6, 7, 9 
Cartagena, línea 7",2583,6150,2574411
UGTPV,Unión General de Trabajadores (UGT),UGT,UGTPV,spain,UCgiQQ74EZ9_-ZAbdwa4vdyw,https://www.youtube.com/channel/UCgiQQ74EZ9_-ZAbdwa4vdyw,2010-02-18 17:05:50+00:00,Canal de vídeos UGT-PV,378,3010,615015
fspugt,UGT Servicios Públicos,UGT,Servicios Públicos UGT,spain,UC37_jdE1Ih7fSHgkkJ4ekDg,https://www.youtube.com/channel/UC37_jdE1Ih7fSHgkkJ4ekDg,2008-12-17 22:15:01+00:00,"Bienvenidos al canal de noticias en vídeo de Servicios Públicos UGT en Youtube.

Aquí encontrarás nuestras propuestas y nuestras posiciones sobre los problemas que afrontan los empleados públicos del estado español.

Gracias por tu visita.",505,718,259649
FeSMCUGT,FeSMC UGT,UGT,,spain,UCvShRuOxQoVaCZl4EK67t5g,https://www.youtube.com/channel/UCvShRuOxQoVaCZl4EK67t5g,2016-04-20 12:29:58+00:00,"Sitio Oficial de la Federación Estatal de Servicios, Movilidad y Consumo de la Unión General de Trabajadores, FeSMC-UGT",113,320,45813
