channel,unionname,org,name of the channel if differs from unionname,country
UPA_Federal,UPA - Unión de Pequeños Agricultores y Ganaderos,UGT,,spain
CSIFNacional,Central Sindical Independiente y de Funcionarios,,CSIF Nacional,spain
confederaciongeneraldeltra5752,Confederación General del Trabajo (CGT),CGT,,spain
cgtoficial4015,Confederación General del Trabajo (CGT),CGT,CGT Oficial,spain
CNTsindicato,Confederación Nacional del Trabajo (CNT),CNT,,spain
avantarvideos,Confederación Intersindical Galega ,CIG,avantarvideos,spain
1UGT,Unión General de Trabajadores (UGT),UGT,UGT - Unión General de Trabajadoras y Trabajadores,spain
UGTPV,Unión General de Trabajadores (UGT),UGT,UGTPV,spain
fspugt,UGT Servicios Públicos,UGT,Servicios Públicos UGT,spain
FeSMCUGT,FeSMC UGT,UGT,,spain
FITAGVIDEOS,UGT FICA,UGT,,spain
UPTAes,UPTA España,UGT,,spain
solidaridadobrera7611,Confederación Sindical Solidaridad Obrera,,Solidaridad Obrera,spain
sovfrontera_del_biobio,Solidaridad Obrera SOV Frontera del Bio bio,,,spain
solidaridadobrera8532,Solidaridad Obrera,,,spain
elasindikatua1720,Euskal Langileen Alkartasuna (ELA),,ELA sindikatua,spain
intersindicalrm,La Intersindical Región Murciana - Sindicato Asambleario,,,spain
IntersindicalCsc,La Intersindical CSC,,,spain
ccoo,Comisiones Obreras,CCOO,Canal confederal de CCOO,spain
ccooandalucia,CCOO Andalucía,CCOO,,spain
ccootvbalears1757,CCOO TV BALEARS,CCOO,,spain
ccoocyl,ccoocyl,CCOO,,spain
CCOOCeuta,CCOOCeuta,CCOO,,spain
snccoo,snccoo,CCOO,,spain
comisionesobrerasmelilla8862,Comisiones Obreras Melilla,CCOO,,spain
CCOOPValencia,CCOOPV,CCOO,,spain
comisionesobrerasar,CCOO Aragón,CCOO,,spain
CCOO_Canarias,CCOO CANARIAS,CCOO,,spain
ccoocastillalamancha,CCOO Castilla-La Mancha,CCOO,,spain
CCOODELHABITAT,CCOO DEL HÁBITAT,CCOO,,spain
CCOODELARIOJA,CCOO de La Rioja,CCOO,,spain
pensionistasdeccoo4567,PENSIONISTAS DE CCOO,CCOO,,spain
CCOOCatalunya,CCOOCatalunya,CCOO,,spain
FECCOOestatal,FECCOOestatal,CCOO,,spain
ccooextremadura1691,CCOO Extremadura,CCOO,,spain
FSSCCOO,FSS-CCOO,CCOO,,spain
CCOOMadrid,CCOO Madrid,CCOO,,spain
ccoodeindustria7192,CCOO de Industria,CCOO,,spain
ccoonavarra,ccoo navarra,CCOO,,spain
fscccoo,FSC-CCOO,CCOO,,spain
unionnacionaldetrabajadore5185,Unión Nacional de Trabajadores (UNT),UNT,,spain
SATSESindicato,Sindicato de Enfermería (SATSE),,,spain
AUGuardiasCiviles,Asociación Unificada de Guardias Civiles (AUGC),,AUGC GUARDIA CIVIL,spain
anpesedenacional7838,Asociación Nacional de Profesionales de la Enseñanza (ANPE),,ANPE Sede Nacional,spain
sindicatocobas,Comisiones de Base,,Comisiones de Base co.bas,spain
STESIntersindical,Sindicatos de Trabajadores de la Enseñanza,,STES Intersindical,spain
ESK_sindikatua,Ezker Sindikalaren Konbergentzia (ESK),,Ezker Sindikalaren Konbergentzia (ESK),spain
FETICOtube,Confederación Sindical Independiente Fetico,,,spain
labsindikatua,Langile Abertzaleen Batzordeak (LAB),,LAB Sindikatua,spain
sindicatootras580,Organización de Trabajadoras Sexuales (OTRAS),,Sindicato OTRAS,spain
sindicatocirculacion,Sindicato de Circulación Ferroviario (SCF),,,spain
SECBCaixaBank,Sindicato de Empleados de CaixaBank (SECB),,SECB CaixaBank,spain
sindicatoferroviariofgvint5688,Sindicato Ferroviario Fgv Intersindical Valenciana,,,spain
sindicatoindependientedela3703,Sindicato Independiente de la Energía,,,spain
sindicatoferroviario59,Sindicato Ferroviario,,,spain
cesmsindicatomedicocastill7348,CESM Sindicato Médico Castilla La Mancha,,,spain
sindicatosolidaridad5537,Sindicato Solidaridad,,,spain
SindicatodeTrabajadores,Sindicato de Trabajadores,,,spain
semaf1926,Sindicato Español de Maquinistas y Ayudantes Ferroviarios,,SEMAF,spain
anpecomunidadvalencianasin9507,ANPE COMUNIDAD VALENCIANA SINDICATO INDEPENDIENTE,,,spain
LABREGXSdaGALIZA,Sindicato Labrego Galego (SLG-CC.LL.),,LABREGXSdaGALIZA,spain
