Channel,Video_id,Frame,class_label,x_center,y_center,width,height,confidence_level
Uilcanetwork,jlOPNUyjzPg,jlOPNUyjzPg_6750,i_cm,0.571429,0.498958,0.857143,0.985417,0.491388
Uilcanetwork,ai1tWHVSwVM,ai1tWHVSwVM_12750,i_fr,0.0919204,0.508333,0.181499,0.983333,0.401177
Uilcanetwork,_3tU-hR_VGA,_3tU-hR_VGA_580,i_cm,0.314453,0.358333,0.383594,0.555556,0.281754
Uilcanetwork,_3tU-hR_VGA,_3tU-hR_VGA_580,i_cm,0.760547,0.493056,0.478906,0.955556,0.888343
Uilcanetwork,z133D0902ac,z133D0902ac_9000,i_fr,0.534543,0.504167,0.870023,0.9625,0.270569
Uilcanetwork,z133D0902ac,z133D0902ac_9250,i_fr,0.938525,0.352083,0.120609,0.2375,0.344782
Uilcanetwork,z133D0902ac,z133D0902ac_0,i_cm,0.5,0.489583,1,0.979167,0.277441
Uilcanetwork,z133D0902ac,z133D0902ac_500,i_fr,0.443794,0.584375,0.0421546,0.0604167,0.421298
Uilcanetwork,gnq6JYGNjvc,gnq6JYGNjvc_250,i_cm,0.978646,0.722222,0.0427083,0.211111,0.326095
Uilcanetwork,gnq6JYGNjvc,gnq6JYGNjvc_6500,i_fr,0.232552,0.464815,0.0348958,0.0796296,0.377477
Uilcanetwork,gnq6JYGNjvc,gnq6JYGNjvc_4250,i_fr,0.0216146,0.491667,0.0411458,0.22037,0.30629
Uilcanetwork,gnq6JYGNjvc,gnq6JYGNjvc_6250,i_fr,0.232552,0.458333,0.0359375,0.0796296,0.713836
Uilcanetwork,9wQhitC5Uxs,9wQhitC5Uxs_750,i_fr,0.204688,0.69537,0.0791667,0.1,0.429839
Uilcanetwork,2LdN80RUDhQ,2LdN80RUDhQ_0,i_cm,0.5,0.489815,1,0.97963,0.275393
Uilcanetwork,-EkRzwuNljE,-EkRzwuNljE_0,i_cm,0.502927,0.509375,0.984778,0.98125,0.53346
Uilcanetwork,avMxnK9Bbf8,avMxnK9Bbf8_0,i_fr,0.244531,0.386458,0.0234375,0.110417,0.283433
Uilcanetwork,avMxnK9Bbf8,avMxnK9Bbf8_0,i_fr,0.01875,0.3875,0.025,0.129167,0.336533
Uilcanetwork,4QJkDBoAmW8,4QJkDBoAmW8_500,i_cm,0.495833,0.312037,0.025,0.0444444,0.280505
Uilcanetwork,0JkAdQX7Gqw,0JkAdQX7Gqw_600,i_fr,0.88125,0.493056,0.234375,0.947222,0.293853
Uilcanetwork,0JkAdQX7Gqw,0JkAdQX7Gqw_600,i_cm,0.426562,0.451389,0.38125,0.536111,0.542373
Uilcanetwork,mSet1wzLQNE,mSet1wzLQNE_1250,i_fr,0.909375,0.899537,0.18125,0.187963,0.620199
Uilcanetwork,mSet1wzLQNE,mSet1wzLQNE_5000,i_fr,0.91224,0.908796,0.173438,0.178704,0.289946
Uilcanetwork,mSet1wzLQNE,mSet1wzLQNE_3750,i_fr,0.909896,0.894907,0.179167,0.202778,0.839425
Uilcanetwork,mSet1wzLQNE,mSet1wzLQNE_4000,i_fr,0.908594,0.891204,0.180729,0.212037,0.351699
Uilcanetwork,mSet1wzLQNE,mSet1wzLQNE_5500,i_fr,0.920313,0.893056,0.159375,0.206481,0.878179
Uilcanetwork,c26EMWDbIR0,c26EMWDbIR0_250,i_fr,0.48829,0.427083,0.955504,0.75,0.260941
Uilcanetwork,Ut7S-5lnnHo,Ut7S-5lnnHo_3500,i_fr,0.57904,0.70406,0.059719,0.121795,0.313989
Uilcanetwork,HH1mPX9WNzU,HH1mPX9WNzU_2750,i_fr,0.971484,0.823611,0.0507812,0.130556,0.314157
Uilcanetwork,HH1mPX9WNzU,HH1mPX9WNzU_500,i_fr,0.9375,0.5,0.125,1,0.263567
Uilcanetwork,HH1mPX9WNzU,HH1mPX9WNzU_0,i_cm,0.5,0.489583,1,0.979167,0.278733
Uilcanetwork,1dbg1lK5FgQ,1dbg1lK5FgQ_7000,i_fr,0.70726,0.263542,0.0749414,0.127083,0.652902
Uilcanetwork,1dbg1lK5FgQ,1dbg1lK5FgQ_4750,i_fr,0.744731,0.2625,0.0679157,0.120833,0.266779
Uilcanetwork,1dbg1lK5FgQ,1dbg1lK5FgQ_7750,i_fr,0.121194,0.21875,0.0831382,0.1625,0.551918
Uilcanetwork,1dbg1lK5FgQ,1dbg1lK5FgQ_9250,i_fr,0.791569,0.184375,0.0725995,0.13125,0.553043
Uilcanetwork,1dbg1lK5FgQ,1dbg1lK5FgQ_6000,i_cm,0.765222,0.257292,0.0667447,0.127083,0.280177
Uilcanetwork,lBuDSkCPrjA,lBuDSkCPrjA_0,i_cm,0.497658,0.489583,0.995316,0.970833,0.44563
Uilcanetwork,Vx-r9ciKnhk,Vx-r9ciKnhk_0,i_cm,0.5,0.489583,1,0.979167,0.315514
Uilcanetwork,oq71uGM0Am0,oq71uGM0Am0_0,i_cm,0.5,0.489583,1,0.979167,0.278733
Uilcanetwork,oq71uGM0Am0,oq71uGM0Am0_500,i_fr,0.184375,0.5,0.36875,1,0.568099
Uilcanetwork,aPAd5srCnCo,aPAd5srCnCo_6250,i_fr,0.635417,0.350926,0.0270833,0.05,0.763619
Uilcanetwork,aPAd5srCnCo,aPAd5srCnCo_5500,i_fr,0.608333,0.328704,0.025,0.0425926,0.441999
