Channel,Video_id,Frame,class_label,x_center,y_center,width,height,confidence_level
norsktannpleierforening3461,MX0TmghIvOw,MX0TmghIvOw_2500,n_hr,0.607813,0.396296,0.0208333,0.0333333,0.305916
norsktannpleierforening3461,MX0TmghIvOw,MX0TmghIvOw_2500,n_hr,0.572917,0.0902778,0.0333333,0.0324074,0.410396
norsktannpleierforening3461,MX0TmghIvOw,MX0TmghIvOw_1250,n_hr,0.297396,0.119444,0.0458333,0.0555556,0.379419
norsktannpleierforening3461,MX0TmghIvOw,MX0TmghIvOw_2000,n_hr,0.993229,0.734722,0.0135417,0.0712963,0.336906
teknawebmaster,gdRX-XDFlQk,gdRX-XDFlQk_0,n_hr,0.5,0.5,1,1,0.291873
teknawebmaster,gdRX-XDFlQk,gdRX-XDFlQk_1500,n_ab,0.973437,0.841667,0.0484375,0.138889,0.32877
teknawebmaster,D2PrRmrLMjs,D2PrRmrLMjs_0,n_hr,0.5,0.5,1,1,0.293608
teknawebmaster,D2PrRmrLMjs,D2PrRmrLMjs_9000,n_hr,0.871194,0.133333,0.0374707,0.0375,0.61022
teknawebmaster,D2PrRmrLMjs,D2PrRmrLMjs_2250,n_ab,0.396955,0.269792,0.0562061,0.227083,0.268705
teknawebmaster,D2PrRmrLMjs,D2PrRmrLMjs_7750,n_hr,0.5,0.5,1,1,0.292574
teknawebmaster,D2PrRmrLMjs,D2PrRmrLMjs_8500,n_hr,0.937354,0.4875,0.0316159,0.0333333,0.281825
teknawebmaster,0aZiKM2XtAc,0aZiKM2XtAc_1500,n_ab,0.439063,0.348611,0.0125,0.0231481,0.274019
teknawebmaster,0aZiKM2XtAc,0aZiKM2XtAc_1500,n_hr,0.265365,0.502778,0.0130208,0.0259259,0.317918
teknawebmaster,0aZiKM2XtAc,0aZiKM2XtAc_1500,n_hr,0.465365,0.45463,0.0140625,0.0240741,0.361946
teknawebmaster,vE73Bo42rm8,vE73Bo42rm8_0,n_hr,0.5,0.5,1,1,0.293784
teknawebmaster,vE73Bo42rm8,vE73Bo42rm8_2250,n_ab,0.565574,0.255208,0.0468384,0.16875,0.380172
teknawebmaster,yInu3avgAVc,yInu3avgAVc_1000,n_hr,0.626562,0.0486111,0.084375,0.0861111,0.350778
teknawebmaster,yZhg_RpmYoc,yZhg_RpmYoc_290,n_ab,0.989062,0.0395833,0.021875,0.0666667,0.337674
teknawebmaster,qXUaXLRA9OM,qXUaXLRA9OM_3750,n_hr,0.835156,0.5,0.326562,1,0.329645
industriEnergi,pwfgoI9RGv0,pwfgoI9RGv0_1500,n_ab,0.0985916,0.55625,0.192488,0.5625,0.283675
