Channel,Video_id,Frame,class_label,x_center,y_center,width,height,confidence_level
Skolledarforbundet,TWQvMVtFPjc,TWQvMVtFPjc_2700,1,0.507611,0.375,0.165105,0.258333,0.755785
Skolledarforbundet,nkm5M0DpwhI,nkm5M0DpwhI_1750,1,0.471311,0.823958,0.0222482,0.0395833,0.429938
Skolledarforbundet,TKPUP6cenBE,TKPUP6cenBE_3500,1,0.608073,0.650463,0.0265625,0.0490741,0.693334
Skolledarforbundet,TKPUP6cenBE,TKPUP6cenBE_4000,1,0.638542,0.808796,0.01875,0.0305556,0.475797
Skolledarforbundet,TKPUP6cenBE,TKPUP6cenBE_750,1,0.449479,0.667593,0.0270833,0.0518519,0.659074
Skolledarforbundet,TKPUP6cenBE,TKPUP6cenBE_1500,1,0.485417,0.855556,0.0208333,0.037037,0.556649
Skolledarforbundet,TKPUP6cenBE,TKPUP6cenBE_4250,1,0.5,0.440278,0.139583,0.215741,0.54841
Skolledarforbundet,TKPUP6cenBE,TKPUP6cenBE_500,0,0.432813,0.690741,0.0270833,0.0555556,0.347124
Skolledarforbundet,TKPUP6cenBE,TKPUP6cenBE_500,1,0.433073,0.690741,0.0255208,0.0518519,0.442638
Skolledarforbundet,TKPUP6cenBE,TKPUP6cenBE_500,1,0.422135,0.9625,0.0203125,0.0361111,0.508097
Skolledarforbundet,TKPUP6cenBE,TKPUP6cenBE_3750,1,0.566927,0.915278,0.0223958,0.0361111,0.303076
Skolledarforbundet,TKPUP6cenBE,TKPUP6cenBE_3750,1,0.392188,0.728704,0.0333333,0.0537037,0.646708
Skolledarforbundet,TKPUP6cenBE,TKPUP6cenBE_2250,1,0.658073,0.693519,0.0286458,0.0462963,0.446591
Skolledarforbundet,TKPUP6cenBE,TKPUP6cenBE_2000,1,0.53099,0.722222,0.0286458,0.0481481,0.25588
Skolledarforbundet,TKPUP6cenBE,TKPUP6cenBE_2000,1,0.398438,0.762963,0.0229167,0.0351852,0.37991
Skolledarforbundet,TKPUP6cenBE,TKPUP6cenBE_3250,1,0.499479,0.760185,0.0239583,0.0388889,0.339912
Skolledarforbundet,TKPUP6cenBE,TKPUP6cenBE_3250,1,0.626823,0.669907,0.0286458,0.0490741,0.583845
Skolledarforbundet,TKPUP6cenBE,TKPUP6cenBE_3000,0,0.633073,0.672685,0.0286458,0.0509259,0.267658
Skolledarforbundet,TKPUP6cenBE,TKPUP6cenBE_3000,1,0.507812,0.783796,0.0229167,0.037963,0.373429
Skolledarforbundet,TKPUP6cenBE,TKPUP6cenBE_3000,1,0.633333,0.671759,0.0291667,0.0527778,0.716522
Skolledarforbundet,TKPUP6cenBE,TKPUP6cenBE_250,1,0.421615,0.762963,0.0255208,0.0537037,0.462427
Skolledarforbundet,TKPUP6cenBE,TKPUP6cenBE_1250,1,0.283594,0.696296,0.0286458,0.0481481,0.613902
Skolledarforbundet,TKPUP6cenBE,TKPUP6cenBE_2750,1,0.595312,0.687037,0.028125,0.05,0.565029
Skolledarforbundet,VW2eMZlWxCA,VW2eMZlWxCA_1250,1,0.504948,0.338426,0.186979,0.326852,0.256593
Skolledarforbundet,lvobwz7_rQ0,lvobwz7_rQ0_2400,1,0.122656,0.418981,0.0151042,0.025,0.414351
Skolledarforbundet,fo1uzWrxP9I,fo1uzWrxP9I_3000,1,0.505208,0.3375,0.1875,0.325,0.260378
Skolledarforbundet,p-2YQGhVGNA,p-2YQGhVGNA_750,1,0.891927,0.119907,0.0765625,0.112037,0.409927
Skolledarforbundet,p-2YQGhVGNA,p-2YQGhVGNA_500,1,0.891927,0.119444,0.0817708,0.116667,0.489053
Skolledarforbundet,p-2YQGhVGNA,p-2YQGhVGNA_2000,1,0.498958,0.357407,0.140625,0.214815,0.502153
Skolledarforbundet,p-2YQGhVGNA,p-2YQGhVGNA_1000,0,0.652344,0.109722,0.168229,0.206481,0.332072
Skolledarforbundet,p-2YQGhVGNA,p-2YQGhVGNA_1000,1,0.891667,0.120833,0.0760417,0.112037,0.36771
Skolledarforbundet,p-2YQGhVGNA,p-2YQGhVGNA_1250,0,0.651042,0.108796,0.165625,0.20463,0.307235
Skolledarforbundet,p-2YQGhVGNA,p-2YQGhVGNA_1250,1,0.891667,0.12037,0.0770833,0.112963,0.328253
Skolledarforbundet,p-2YQGhVGNA,p-2YQGhVGNA_0,1,0.891927,0.12037,0.0765625,0.112963,0.47836
Skolledarforbundet,p-2YQGhVGNA,p-2YQGhVGNA_250,0,0.490625,0.407407,0.0385417,0.0592593,0.390377
Skolledarforbundet,p-2YQGhVGNA,p-2YQGhVGNA_250,1,0.892187,0.119907,0.0760417,0.112037,0.411497
Skolledarforbundet,SPvPs2cmDas,SPvPs2cmDas_3500,1,0.992448,0.745833,0.0151042,0.110185,0.301041
Skolledarforbundet,SPvPs2cmDas,SPvPs2cmDas_0,1,0.992708,0.74537,0.0145833,0.111111,0.255591
Skolledarforbundet,SPvPs2cmDas,SPvPs2cmDas_250,1,0.992969,0.746296,0.0140625,0.103704,0.283112
Skolledarforbundet,SPvPs2cmDas,SPvPs2cmDas_3250,1,0.992448,0.746296,0.0151042,0.105556,0.311137
Skolledarforbundet,SPvPs2cmDas,SPvPs2cmDas_2750,1,0.691927,0.781944,0.0171875,0.0305556,0.433299
Skolledarforbundet,zjVv7cnJ7Z8,zjVv7cnJ7Z8_12750,1,0.499479,0.356481,0.14375,0.218519,0.490366
Skolledarforbundet,zjVv7cnJ7Z8,zjVv7cnJ7Z8_10000,1,0.20599,0.210648,0.0213542,0.0546296,0.314632
Skolledarforbundet,0Em_4-kd96Y,0Em_4-kd96Y_8000,1,0.498177,0.35787,0.141146,0.213889,0.435426
Skolledarforbundet,0Em_4-kd96Y,0Em_4-kd96Y_5000,1,0.807813,0.710185,0.025,0.0407407,0.547257
Skolledarforbundet,0Em_4-kd96Y,0Em_4-kd96Y_1000,1,0.366927,0.938889,0.0223958,0.0351852,0.444782
Skolledarforbundet,0Em_4-kd96Y,0Em_4-kd96Y_4500,1,0.91224,0.868056,0.0223958,0.037963,0.499788
Skolledarforbundet,0Em_4-kd96Y,0Em_4-kd96Y_3500,1,0.933073,0.624537,0.0223958,0.037963,0.250885
